Time	Fp1	Fp2	F3	F4	C3	C4	P3	P4	O1	O2	F7	F8	T3	T4	T5	T6	FZ	CZ	PZ	FC1	FC2	CP1	CP2	FC5	FC6	CP5	CP6	FT9	FT10	P9	P10	POZ
0.0000	-0.0699	-0.1427	0.0540	0.0578	0.0860	0.0641	0.0641	0.1194	0.0547	0.0583	0.0241	-0.3252	-0.0297	-0.3196	-0.0050	-0.0129	0.0872	0.1530	0.1607	0.1072	0.1568	0.1367	0.1531	0.0383	-0.2652	0.0393	-0.0344	0.0015	-0.4360	-0.0181	-0.0839	0.1263
3.9062	0.4481	-0.4743	-0.4738	-0.6973	-0.0782	0.2447	0.3386	0.1718	0.3307	-0.0689	0.3477	-0.3316	0.2342	0.2086	0.3238	-0.0926	-0.8655	-0.1719	0.0963	-0.5035	-0.4036	0.0462	0.1574	-0.0589	0.1241	0.2385	0.5901	0.2265	0.5146	0.0665	-0.6426	0.1542
7.8125	0.8102	-0.0695	-0.4119	-0.8321	-0.2693	-0.0034	0.3133	0.0950	0.2786	0.0616	0.5238	-0.0255	0.2176	0.4341	0.4271	0.0773	-0.9330	-0.6530	-0.1703	-0.7346	-0.8215	-0.2909	-0.1116	0.0230	0.4235	0.2728	0.6189	0.2514	0.7039	0.1660	-0.4193	0.0479
11.7188	0.1875	-0.0608	-0.5787	-1.0154	-0.4213	-0.1000	0.0807	0.0799	0.1653	0.1023	0.0840	0.7067	0.0920	1.3060	0.2667	0.3786	-1.1031	-0.8409	-0.2897	-0.8988	-1.1662	-0.4588	-0.2352	-0.1319	1.0371	0.0686	0.7731	0.0824	1.6547	0.1445	0.1517	-0.0609
15.6250	0.1076	-0.1930	-0.6827	-0.7285	-0.2925	-0.1293	0.3562	-0.0995	0.4393	-0.0600	0.0951	0.5197	0.4636	0.8307	0.4506	0.0476	-1.0984	-0.7638	-0.0372	-0.8615	-0.8641	-0.1976	-0.2676	-0.1654	0.3370	0.2536	0.4367	0.3191	1.3886	0.2986	-0.0574	0.1544
19.5312	0.6034	0.1884	-0.4051	-0.6761	-0.1388	-0.4091	0.4326	-0.4006	0.5292	-0.2592	0.4020	0.2546	0.5699	0.3931	0.5224	-0.3050	-0.7559	-0.6192	-0.0221	-0.5821	-0.7856	-0.0919	-0.3826	-0.0825	0.0646	0.3260	-0.1233	0.5500	0.7995	0.3856	-0.0986	0.1163
23.4375	-0.3983	-0.6063	-0.6032	-1.6351	-0.1128	-0.5104	0.8460	0.0694	1.0013	0.1712	0.0598	-0.1990	0.4014	0.7297	0.8885	0.2279	-1.2298	-0.7140	0.2723	-0.8061	-1.4816	0.0036	-0.0406	0.0354	0.3678	0.6460	0.2875	0.2266	0.6103	0.6535	0.3698	0.4689
27.3438	0.4053	-0.0409	-0.4052	-1.3399	-0.1339	-0.5862	0.5617	-0.2827	0.5416	0.1616	0.2152	0.0994	0.5739	0.8117	0.8571	0.0608	-0.9456	-0.6757	-0.3080	-0.6502	-1.3121	-0.2516	-0.4842	0.0058	0.6081	0.5253	0.0771	0.1703	0.8537	0.6754	0.1969	0.0154
31.2500	0.3167	-0.5543	-0.6822	-0.7851	-0.1109	0.0284	0.5591	0.1378	0.6435	0.1070	0.3461	-0.4313	0.5559	0.0814	0.5725	0.0014	-1.1198	-0.4322	0.2706	-0.7336	-0.5775	0.1092	0.0221	-0.1319	-0.3808	0.3991	0.3957	0.4703	0.4540	0.3598	-0.3339	0.4428
35.1562	-0.9215	-1.2460	-1.3173	-0.9269	-0.4005	0.3842	0.3922	0.3157	0.8124	0.0996	-0.3247	0.2000	0.3675	1.1619	0.4266	0.6224	-1.7447	-0.6000	0.3276	-1.1991	-0.6633	-0.0086	0.1613	-0.4305	-0.0672	0.1752	1.0450	0.2842	1.8581	0.3284	0.4629	0.4252
39.0625	-1.4364	-1.5442	-1.3410	-1.3867	-0.3141	0.1401	0.5576	0.3831	1.0098	0.4570	-0.6017	-0.0875	0.4400	1.3100	0.7062	0.9386	-1.8166	-0.5321	0.3290	-1.1585	-0.9676	0.0441	0.1265	-0.4155	-0.0473	0.3467	0.9286	0.0851	1.6287	0.6652	1.0293	0.5237
42.9688	-1.3197	-1.4844	-1.5566	-1.9827	-0.7517	0.2644	0.3076	0.8353	0.7143	0.8319	-0.5832	0.5363	0.0418	2.3334	0.5882	1.5955	-2.4269	-1.2304	-0.0251	-1.7937	-1.8154	-0.5302	0.1137	-0.4019	1.1280	0.1872	1.9231	-0.1835	2.6871	0.4754	1.1372	0.3849
