Time	Fp1	Fp2	F3	F4	C3	C4	P3	P4	O1	O2	F7	F8	T3	T4	T5	T6	A1	A2	FZ	CZ	PZ
0.0000	4.2572	3.8424	-0.7689	5.3476	7.4039	5.4233	1.0648	4.1252	-3.2973	-7.0480	0.6704	-3.9394	1.0836	-4.1236	-1.5801	-14.4101	-7.5677	-10.0158	6.9370	7.9596	4.6361
4.0000	6.7106	7.6245	2.9997	7.9820	6.1846	2.9022	0.5875	-1.2183	-2.9522	-8.6818	2.6280	-3.1264	2.8186	-7.9183	-0.7716	-20.7904	-3.7706	-8.3127	9.0685	5.9784	2.0577
8.0000	7.7091	7.8128	5.7081	6.5167	4.7977	0.3140	0.5769	-5.0681	-2.0973	-8.8184	4.8957	-1.6653	4.0342	-9.9478	0.7792	-22.2038	0.6633	-5.0289	7.5520	3.4482	0.0215
12.0000	8.2800	9.4688	4.4005	10.4164	7.2316	2.1328	0.4927	-6.5052	-3.1491	-11.6808	3.9548	-4.5936	4.5335	-11.1662	0.2523	-23.2173	-2.6043	-8.8438	12.0620	7.8284	0.7064
16.0000	7.3078	7.0277	4.2497	8.2778	7.8911	2.5038	1.4883	-8.0228	-2.3661	-10.9842	5.2081	-5.0121	4.3063	-12.2729	1.6338	-22.9963	-2.1428	-6.7794	10.6907	8.7542	1.2373
20.0000	5.6689	4.9218	1.1892	8.2809	10.4095	5.9087	2.4331	-5.0039	-2.8011	-10.6878	3.9410	-7.1772	2.8950	-11.3337	1.1002	-22.1577	-6.9124	-9.0999	11.5239	12.7526	4.1489
24.0000	4.9085	4.0999	-1.6949	9.8772	13.6401	9.4761	3.1590	-2.6979	-3.7557	-11.9156	2.6439	-10.0360	2.0614	-11.1431	0.3545	-22.5957	-12.1861	-12.9424	14.0534	17.7652	6.9280
28.0000	5.6752	3.1687	-1.2065	8.1074	14.2991	8.8941	3.2950	-3.1612	-3.9491	-13.1557	3.8541	-9.8259	2.9479	-11.5888	1.1190	-21.8841	-10.9435	-13.0444	12.8181	17.8339	6.7469
32.0000	6.7456	4.3380	-0.4856	8.6134	14.3998	8.6976	3.0977	-2.4214	-4.3562	-13.9135	4.1137	-9.3822	3.3276	-11.9244	0.7755	-24.1516	-10.7279	-13.9050	13.1445	17.3027	6.7117
36.0000	9.4899	6.0876	4.2223	7.7190	13.0199	4.9130	2.9655	-8.4267	-3.6029	-15.6096	7.8714	-7.4614	5.7614	-16.0140	2.8982	-29.1098	-4.2913	-10.3526	12.2240	14.0332	3.6627
40.0000	13.4569	8.8534	10.1126	7.0170	11.7555	0.6081	2.7763	-14.7255	-3.0665	-18.2267	12.4817	-5.0540	8.8318	-21.1233	5.1367	-36.8276	3.0755	-7.0187	11.4582	10.1595	0.3190
44.0000	11.4531	6.9459	5.6785	7.8249	14.4754	4.7238	3.2769	-9.7415	-4.0850	-18.0565	9.7085	-7.6928	7.0566	-18.4333	3.6041	-33.4606	-3.4433	-11.2822	12.9180	14.8527	3.6768
48.0000	10.3427	4.9765	3.1542	6.8061	15.8162	6.4455	3.4331	-6.6791	-4.6806	-18.0753	8.4024	-8.7281	6.3590	-16.2238	3.0103	-29.2520	-6.2179	-13.4645	12.3844	16.9223	5.2687
52.0000	6.3298	1.5897	0.5801	5.2698	14.8973	8.2609	4.3663	-5.0751	-3.2375	-13.3524	6.7372	-9.1269	3.5912	-14.1783	2.9693	-25.5373	-8.5122	-10.4699	10.7333	17.3406	6.8243
56.0000	2.0325	-1.6161	-3.3299	4.9039	14.9326	11.3996	5.2581	-2.0158	-2.3502	-9.0761	3.9713	-10.5597	0.4312	-11.4046	2.1810	-21.2503	-13.1303	-9.5146	10.3662	19.4576	9.3137
60.0000	3.7333	-0.0857	-1.8131	4.9984	14.3599	9.8835	4.6073	-2.3131	-2.7865	-10.4153	4.6360	-9.4954	1.5638	-11.6795	2.0939	-22.1923	-11.1660	-10.0213	10.1481	17.7894	8.1546
64.0000	3.6435	-0.7407	-1.3609	3.6509	13.7487	9.1956	4.6424	-2.3487	-2.4726	-9.8390	5.1178	-8.7140	1.6155	-11.4796	2.4533	-21.5180	-9.9340	-8.8420	8.7404	16.6294	7.8121
68.0000	2.0238	-1.2345	-3.1454	4.5580	13.3968	10.0707	4.4482	-1.5586	-2.3635	-8.5724	3.2911	-9.4993	0.5935	-9.7748	1.7472	-18.0169	-11.8149	-9.2017	9.4152	17.4637	8.1738
72.0000	3.8529	2.0720	-0.3786	7.0571	12.1458	8.0568	3.8454	-5.3894	-2.1736	-9.6910	4.3380	-8.8085	1.8364	-12.2468	2.0444	-22.4128	-9.0552	-8.1407	11.3130	15.6995	6.0351
76.0000	8.4553	3.4547	5.6184	3.7941	11.4612	3.3414	3.7370	-10.3935	-1.9908	-13.1760	9.8510	-5.7701	5.5322	-16.7982	4.7102	-28.5791	-0.7582	-5.2761	8.4276	11.4581	2.9011
80.0000	7.8278	5.9827	3.7022	8.9715	12.0088	5.1148	3.0887	-10.3286	-2.7077	-13.7161	7.0135	-8.0262	4.8159	-16.1089	2.9870	-28.1597	-4.7143	-8.4397	13.1705	14.2045	3.3132
84.0000	5.8669	3.2559	4.1301	5.6015	9.5625	3.2107	3.2700	-12.5005	-1.0423	-10.6767	7.6361	-6.5588	4.3175	-15.2735	4.3551	-23.2261	-1.4296	-3.4582	9.6011	11.4612	1.8969
88.0000	3.8179	1.6278	3.0958	4.6589	8.4888	3.4972	3.5187	-12.1771	-0.1735	-8.0894	6.7825	-6.4015	3.0537	-14.0049	4.4053	-20.3750	-1.7902	-1.4125	8.4305	10.9366	2.1106
92.0000	0.3127	2.5620	-1.8696	10.2029	9.2406	8.2910	3.4931	-7.6380	-0.6085	-5.3019	1.3969	-9.4767	-0.4120	-10.8354	1.2924	-18.8349	-10.3198	-4.9658	13.2602	15.0968	5.1141
96.0000	-0.1654	1.5362	-2.5849	9.0231	8.9328	7.9851	3.2228	-6.8254	-0.6898	-5.0714	0.9194	-9.2564	-0.4329	-9.3365	1.2136	-15.0287	-10.1320	-5.1188	12.0941	14.7692	4.9458
100.0000	0.6142	1.5027	-0.3410	8.1972	8.5317	6.2821	3.6017	-11.3975	0.1418	-5.6440	3.2687	-8.8371	0.6884	-12.1953	2.9837	-17.3539	-6.7960	-2.2673	11.6189	13.9179	3.4830
104.0000	-0.3307	-0.4522	0.1702	5.8498	7.8877	5.7110	4.2535	-12.7677	1.1904	-4.0784	4.4173	-8.1986	0.3851	-12.7973	4.1870	-16.9097	-5.1222	0.8331	9.5060	12.9744	3.2912
108.0000	1.3212	1.2015	1.6176	6.0020	7.2048	4.3562	3.5918	-12.3326	0.7221	-5.1188	4.8809	-6.9575	1.2998	-12.8096	3.8559	-18.2488	-3.4309	0.2241	9.2132	11.0747	2.3326
112.0000	3.0370	3.0637	2.8054	7.3022	7.4590	3.4663	3.0926	-13.7264	0.1501	-7.2184	5.4717	-6.9691	2.5442	-13.9085	3.8595	-19.9013	-2.4051	-1.0005	10.4908	10.9910	1.3959
